Dataset,SubmissionDateTime,PublishTime,SettlementDate,Region,GspGroupId,ForecastDemand60,ForecastDemand100
RZDF,2025-12-24T11:45:00Z,2025-12-24T11:45:04Z,2025-12-25,North Scotland,N/A,90,151
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,South East,N/A,5364,8940
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,South West,N/A,3445,5741
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,Midlands,N/A,3563,5938
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,North East,N/A,2348,3914
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,North West,N/A,2281,3801
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,South Scotland,N/A,1095,1825
RZDF,2025-12-24T09:00:00Z,2025-12-24T09:00:04Z,2025-12-25,North Scotland,N/A,93,155
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,South East,N/A,7181,11968
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,South West,N/A,4612,7687
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,Midlands,N/A,4770,7950
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,North East,N/A,3144,5239
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,North West,N/A,3054,5089
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,South Scotland,N/A,1466,2443
RZDF,2025-12-23T17:00:00Z,2025-12-23T17:00:05Z,2025-12-24,North Scotland,N/A,124,207
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,South East,N/A,7206,12009
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,South West,N/A,4628,7713
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,Midlands,N/A,4787,7978
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,North East,N/A,3154,5257
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,North West,N/A,3064,5107
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,South Scotland,N/A,1471,2452
RZDF,2025-12-23T11:45:00Z,2025-12-23T11:45:05Z,2025-12-24,North Scotland,N/A,125,208
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,South East,N/A,7198,11997
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,South West,N/A,4623,7705
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,Midlands,N/A,4782,7970
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,North East,N/A,3151,5252
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,North West,N/A,3061,5102
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,South Scotland,N/A,1469,2449
RZDF,2025-12-23T09:00:00Z,2025-12-23T09:00:04Z,2025-12-24,North Scotland,N/A,124,207
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,South East,N/A,7096,11826
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,South West,N/A,4557,7595
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,Midlands,N/A,4714,7856
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,North East,N/A,3106,5177
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,North West,N/A,3017,5029
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,South Scotland,N/A,1448,2414
RZDF,2025-12-22T17:00:00Z,2025-12-22T17:00:04Z,2025-12-23,North Scotland,N/A,123,205
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,South East,N/A,7168,11946
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,South West,N/A,4603,7672
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,Midlands,N/A,4761,7936
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,North East,N/A,3138,5230
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,North West,N/A,3048,5080
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,South Scotland,N/A,1463,2439
RZDF,2025-12-22T11:45:00Z,2025-12-22T11:45:04Z,2025-12-23,North Scotland,N/A,124,207
